
Metric	DT	PS	TAP 	TAV	TBP
L1_jJ500_LAR	0.04	1.00	35.22	33.96	35.29
L1_jJ160	0.01	599.98	34.44	1.74	20805.60
L1_gJ20p0ETA25	0.05	10118.90	33.31	31.34	329091.00
L1_eEM18M	0.05	1478.95	32.01	30.53	44864.00
L1_eTAU60	0.04	472.28	31.52	30.07	14878.20
L1_TAU40	0.04	512.08	29.74	28.52	15577.90
L1_BTAG-MU5VFjJ80	0.04	11.97	26.91	25.60	357.06
L1_jJ50p30ETA49	0.06	1627.43	26.22	25.08	43302.90
L1_2eEM18L	0.04	29.71	25.86	24.88	808.04
L1_NSW_MONITOR	0.04	1290560.00	18.71	18.04	25030800.00
L1_jJ50	0.04	13957.80	16.84	16.20	233220.00
L1_LLPDPHI-jXE40-jJ40	0.66	1.00	14.14	4.67	14.14
L1_eEM18	0.01	6996.34	13.35	9.43	98661.10
L1_jJ90	0.01	2999.68	11.81	3.14	34500.10
L1_RD2_EMPTY	0.36	601068.00	11.23	7.18	6308450.00
L1_jJ40p30ETA49	0.04	8401.21	10.22	9.65	80491.50
L1_TAU20IM	0.04	8760.95	10.06	9.67	90372.40
L1_RD0_EMPTY	0.36	627301.00	9.95	6.66	6618090.00
L1_jJ30_BGRP12	0.01	24966.10	9.68	9.58	230983.00
L1_RD0_UNPAIRED_ISO	0.36	13498.00	9.30	6.44	138883.00
L1_TAU12IM	0.04	52265.50	9.03	8.69	394297.00
L1_2MU3V	0.04	4142.52	7.70	7.45	32839.90
L1_CALREQ2	0.01	1.00	7.21	7.14	7.21
L1_MU14EOF	0.05	1690.06	6.09	5.71	9379.88
L1_eEM12L	0.00	24966.10	5.70	5.04	141645.00
L1_gLJ100p0ETA25	0.04	493.16	5.59	5.33	1879.54
L1_cTAU30M	0.04	14086.70	5.59	5.48	85327.00
L1_eEM5	0.07	986895.00	5.17	4.83	5736390.00
L1_RD1_EMPTY	0.36	1201370.00	5.05	3.43	6308450.00
L1_eTAU20	0.04	93727.50	4.04	4.00	358100.00
L1_J50	0.01	2999.68	3.82	3.77	10937.40
L1_gJ400p0ETA25	0.09	1.00	3.69	3.39	3.69
L1_cTAU20M	0.04	86037.00	3.57	3.49	316749.00
L1_J400	0.01	1.00	3.45	3.35	3.45
L1_jXE70	0.00	9992.39	3.39	0.81	34439.70
L1_MU14FCH_EMPTY	0.05	1.00	3.18	2.89	3.18
L1_eTAU20M	0.04	82241.30	3.04	2.96	305907.00
L1_BPH-2M9-0DR15-2MU3V	0.04	1583.50	2.86	2.77	4792.63
L1_TAU8	0.01	390168.00	2.21	2.18	882692.00
L1_gLJ80p0ETA25	0.04	1388.50	2.20	2.13	4078.96
L1_ZeroBias	0.02	49784.00	2.08	1.51	98661.40
L1_RD0_BGRP7	0.05	8388610.00	2.05	1.89	21928700.00
L1_BCM_2A_2C_UNPAIRED_ISO	0.00	3.00	2.00	2.00	6.80
L1_eEM9_UNPAIRED_ISO	0.04	1.00	1.98	1.83	1.98
L1_AFP_FSA_TOF_T1_BGRP12	0.04	479349.00	1.87	1.79	740044.00
L1_BCM_Wide_BGRP12	0.00	5282360.00	1.80	1.80	14476100.00
L1_jJ60	0.00	24966.10	1.77	0.75	46438.80
L1_2MU5VF_EMPTY	0.05	1.00	1.73	1.63	1.73
L1_J100	0.01	599.98	1.68	1.65	1078.14
L1_AFP_FSA_TOF_T0_BGRP12	0.00	479349.00	1.65	1.64	738536.00
L1_eTAU12	0.01	390168.00	1.57	1.48	593472.00
L1_BCM_Wide	0.00	5282640.00	1.57	1.57	14476500.00
L1_RD0_FIRSTEMPTY	0.04	4194300.00	1.47	1.43	5847670.00
L1_jXE90	0.00	2418.51	1.33	1.33	3193.00
L1_eEM15_EMPTY	0.04	1.00	1.14	1.11	1.14
L1_J20	0.04	188508.00	1.11	1.00	243543.00
L1_J15	0.04	699051.00	0.95	0.91	495115.00
L1_jJ30	0.00	419430.00	0.92	0.92	394824.00
L1_AFP_A_AND_C_TOF	0.04	479349.00	0.69	0.61	310666.00
L1_jXE80	0.04	15087.40	0.58	0.54	7693.50
L1_gXEJWOJ80	0.00	14327.30	0.58	0.58	10672.60
L1_MU3V_EMPTY	0.00	499.99	0.46	0.46	294.15
L1_AFP_A_AND_C_TOF_T0T1	0.08	479349.00	0.40	0.33	310665.00
L1_gXEJWOJ60	0.00	118149.00	0.40	0.40	42200.40
L1_gXEJWOJ70	0.00	57456.20	0.36	0.36	20605.20
L1_BCM_Wide_UNPAIREDB1	0.00	499.99	0.34	0.34	132.57
L1_gLJ160p0ETA25	0.00	1627.12	0.30	0.30	322.57
L1_gJ20p0ETA25_EMPTY	0.00	10.00	0.21	0.21	2.60
L1_jJ40p30ETA49_UNPAIRED_ISO	0.00	1.00	0.16	0.16	0.16
L1_eTAU60_EMPTY	0.00	1.00	0.15	0.15	0.15
L1_BCM_Wide_EMPTY	0.00	499.99	0.15	0.15	101.79
L1_jXE500	0.04	1.00	0.15	0.08	0.15
L1_jXE60	0.04	145889.00	0.12	0.08	27018.50
L1_jJ30_UNPAIREDB1	0.00	10.00	0.08	0.08	1.08
L1_gXEJWOJ500	0.08	1.00	0.08	0.00	0.08
L1_jJ30_UNPAIRED_ISO	0.00	390168.00	0.07	0.00	26493.90
L1_eEM5_EMPTY	0.00	390168.00	0.07	0.00	27538.60
L1_jJ30_UNPAIRED_NONISO	0.00	9992.39	0.06	0.00	614.80
L1_eTAU12_EMPTY	0.00	390168.00	0.06	0.00	26533.30
L1_jJ30_EMPTY	0.00	390168.00	0.06	0.00	26494.20
L1_jJ125p30ETA49	0.00	1499.84	0.05	0.05	98.75
L1_J75p31ETA49	0.00	1499.84	0.04	0.04	98.99
L1_eEM9_EMPTY	0.00	671089.00	0.04	0.00	26523.80
L1_jJ30_FIRSTEMPTY	0.00	390168.00	0.03	0.00	11352.10
L1_eEM9_FIRSTEMPTY	0.00	390168.00	0.03	0.00	11376.80
L1_eTAU12_FIRSTEMPTY	0.00	390168.00	0.03	0.00	11386.40
L1_BCM_2C_UNPAIREDB2	0.00	2999.68	0.02	0.02	7.64
L1_MU8VF_EMPTY	0.02	5.00	0.02	0.00	0.11
L1_jJ60p30ETA49_EMPTY	0.00	1.00	0.02	0.02	0.02
L1_eTAU60_UNPAIRED_ISO	0.00	1.00	0.01	0.01	0.01
L1_10DR-MU14FCH-MU5VF_EMPTY	0.00	1.00	0.00	0.00	0.00
L1_10DR-MU14FCH-MU5VF_UNPAIRED_ISO	0.00	1.00	0.00	0.00	0.00
L1_BCM_2A_2C_BGRP12	0.00	390168.00	0.00	0.00	4149.70
L1_BCM_2A_CALIB	0.00	2999.68	0.00	0.00	7.12
L1_BCM_2A_EMPTY	0.00	2999.68	0.00	0.00	44.88
L1_BCM_2A_FIRSTINTRAIN	0.00	2999.68	0.00	0.00	14.25
L1_BCM_2A_UNPAIREDB1	0.00	2999.68	0.00	0.00	7.74
L1_BCM_2A_UNPAIREDB2	0.00	2999.68	0.00	0.00	0.28
L1_BCM_2C_CALIB	0.00	2999.68	0.00	0.00	11.86
L1_BCM_2C_EMPTY	0.00	2999.68	0.00	0.00	58.11
L1_BCM_2C_FIRSTINTRAIN	0.00	2999.68	0.00	0.00	16.37
L1_BCM_2C_UNPAIREDB1	0.00	2999.68	0.00	0.00	0.28
L1_BCM_Wide_UNPAIREDB2	0.00	499.99	0.00	0.00	1.60
L1_CALREQ1	0.00	1.00	0.00	0.00	0.00
L1_CEP-CjJ100	0.00	215.75	0.00	0.00	0.00
L1_CEP-CjJ90	0.00	337.02	0.00	0.00	0.00
L1_MU14FCH_UNPAIRED_ISO	0.00	1.00	0.00	0.00	0.00
L1_TGC_BURST	0.00	1.00	0.00	0.00	0.00
L1_TRT_EMPTY	0.00	1.00	0.00	0.00	0.00
L1_jJ30_UNPAIREDB2	0.00	10.00	0.00	0.00	0.08
L1_jJ60p30ETA49_UNPAIRED_ISO	0.00	1.00	0.00	0.00	0.00
L1_jJ60p30ETA49_UNPAIRED_NONISO	0.00	1.00	0.00	0.00	0.00
L1_jLJ140	0.00	1.00	0.00	0.00	0.00
